YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 05 23 00  41  1.2  1.4 99.00 99.00 99.00 999 1019.8   4.7   3.1 999.0 99.0
1999 05 23 01  38  4.1  4.8 99.00 99.00 99.00 999 1019.1   3.7   3.1 999.0 99.0
1999 05 23 02  55  3.4  3.8   .20  3.33  3.23 999 1018.4   4.1   3.0 999.0 99.0
1999 05 23 03  75  5.3  5.9   .16  3.23  3.23 999 1017.5   4.3   3.0 999.0 99.0
1999 05 23 04  55  5.6  6.3   .16  2.50  3.07 999 1016.5   4.9   3.0 999.0 99.0
1999 05 23 05  80  6.4  7.1   .19  2.50  2.95 999 1015.8   4.4   3.0 999.0 99.0
1999 05 23 06  74  5.6  6.3   .29  2.63  2.85 999 1015.2   4.2   3.0 999.0 99.0
1999 05 23 07  83  7.1  8.7   .36  2.86  2.92 999 1014.8   4.7   3.0 999.0 99.0
1999 05 23 08  74  8.4 10.8   .54  3.23  3.10 999 1013.9   4.6   3.0 999.0 99.0
1999 05 23 09  74  8.7 10.5   .86  3.57  3.50 999 1013.3   4.4   3.0 999.0 99.0
1999 05 23 10  84  9.7 11.2  1.04  4.55  3.79 999 1012.3   4.1   3.0 999.0 99.0
1999 05 23 11  78  9.5 11.8  1.14  4.35  3.93 999 1011.7   4.3   3.0 999.0 99.0
1999 05 23 12  80 10.0 12.1  1.31  4.76  4.15 999 1010.8   4.2   3.0 999.0 99.0
1999 05 23 13  89 10.9 13.1  1.61  4.76  4.35 999 1010.2   4.2   3.0 999.0 99.0
1999 05 23 14  86  9.5 11.0  1.46  5.26  4.41 999 1010.1   4.2   3.0 999.0 99.0
1999 05 23 15  87  9.6 11.2  1.70  5.56  4.77 999 1009.6   4.1   3.0 999.0 99.0
1999 05 23 16  83  8.4  9.6  1.75  5.88  4.76 999 1009.9   4.0   3.0 999.0 99.0
1999 05 23 17  72  8.4 10.0  1.58  5.26  4.63 999 1009.8   4.1   3.0 999.0 99.0
1999 05 23 18  51  7.2  8.5  1.51  5.56  4.57 999 1009.8   4.0   3.0 999.0 99.0
1999 05 23 19  45  7.7  9.3  1.54  5.88  4.81 999 1009.7   4.1   3.0 999.0 99.0
1999 05 23 20  43  9.4 11.0  1.62  5.88  4.84 999 1009.4   4.3   3.1 999.0 99.0
1999 05 23 21  39 10.1 12.4  1.86  6.25  4.90 999 1009.2   4.3   3.0 999.0 99.0
1999 05 23 22  44 10.4 12.2  1.72  5.88  4.79 999 1009.3   4.3   3.0 999.0 99.0
1999 05 23 23  45 11.0 13.3  1.81  5.56  4.80 999 1009.4   4.3   3.0 999.0 99.0
1999 05 24 00  49 10.9 12.8  1.90  5.88  4.77 999 1009.7   4.2   3.0 999.0 99.0
1999 05 24 01  44 10.8 13.1  1.94  5.88  4.82 999 1009.9   4.1   3.0 999.0 99.0
1999 05 24 02  41 10.6 13.2  1.78  5.56  4.74 999 1009.7   4.1   3.0 999.0 99.0
1999 05 24 03  38  9.5 11.2  1.60  5.88  4.71 999 1009.9   4.1   3.0 999.0 99.0
1999 05 24 04  26  8.3  9.4  1.53  5.26  4.67 999 1009.8   4.1   3.0 999.0 99.0
1999 05 24 05  25  8.8 10.0  1.38  5.88  4.66 999 1009.4   4.0   3.0 999.0 99.0
1999 05 24 06  20  9.6 11.6  1.59  5.88  4.67 999 1008.8   4.0   3.0 999.0 99.0
1999 05 24 07   9  9.5 11.4  1.55  5.56  4.57 999 1008.1   3.8   3.0 999.0 99.0
1999 05 24 08   4  9.6 11.4  1.37  5.56  4.34 999 1007.6   3.8   3.0 999.0 99.0
1999 05 24 09   2 10.3 12.7  1.34  5.26  4.33 999 1006.9   3.8   3.0 999.0 99.0
1999 05 24 10   4 10.6 13.1  1.34  4.55  4.15 999 1006.4   3.9   3.0 999.0 99.0
1999 05 24 11 360 11.0 12.9  1.50  5.00  4.32 999 1006.2   3.9   3.0 999.0 99.0
1999 05 24 12 360 10.9 14.2  1.71  5.26  4.52 999 1006.2   3.7   3.0 999.0 99.0
1999 05 24 13 356 10.8 12.9  1.71  5.26  4.52 999 1005.7   3.7   3.0 999.0 99.0
