YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 26 18 292  2.9  3.3  0.00  0.00  0.00 999 1022.9   5.5   2.1 999.0 99.0 99.00
2003 05 26 19 281  2.4  2.4  0.00  0.00  0.00 999 1022.6   6.6   2.1 999.0 99.0 99.00
2003 05 26 20 233  3.2  3.4  0.00  0.00  0.00 999 1022.0   5.5   2.1 999.0 99.0 99.00
2003 05 26 21 253  3.4  3.6  0.00  0.00  0.00 999 1021.6   5.9   2.1 999.0 99.0 99.00
2003 05 26 22 243  3.3  3.7  0.00  0.00  0.00 999 1021.1   5.7   2.2 999.0 99.0 99.00
2003 05 26 23 236  3.5  3.8  0.00  0.00  0.00 999 1020.5   5.9   2.1 999.0 99.0 99.00
2003 05 27 00 268  3.9  4.2  0.00  0.00  0.00 999 1020.5   4.7   2.0 999.0 99.0 99.00
2003 05 27 01 270  3.7  4.2  0.00  0.00  0.00 999 1020.5   4.8   2.0 999.0 99.0 99.00
2003 05 27 02 277  3.0  3.3  0.00  0.00  0.00 999 1020.5   4.3   2.0 999.0 99.0 99.00
2003 05 27 03 247  2.3  2.7  0.00  0.00  0.00 999 1021.0   4.4   2.0 999.0 99.0 99.00
2003 05 27 04 258  2.5  2.8  0.00  0.00  0.00 999 1021.0   5.1   1.9 999.0 99.0 99.00
2003 05 27 05 280  2.5  2.6  0.00  0.00  0.00 999 1021.1   5.2   1.9 999.0 99.0 99.00
2003 05 27 06 227  2.1  2.5  0.00  0.00  0.00 999 1021.0   5.4   1.9 999.0 99.0 99.00
2003 05 27 07 231  3.0  3.2  0.00  0.00  0.00 999 1021.0   4.1   1.7 999.0 99.0 99.00
2003 05 27 08 217  2.6  3.1  0.00  0.00  0.00 999 1020.5   3.7   1.7 999.0 99.0 99.00
2003 05 27 09 227  3.3  3.7  0.00  0.00  0.00 999 1020.5   3.7   1.7 999.0 99.0 99.00
2003 05 27 10 237  3.9  4.2  0.00  0.00  0.00 999 1020.4   3.9   1.7 999.0 99.0 99.00
2003 05 27 11 231  3.9  4.2  0.00  0.00  0.00 999 1020.5   3.6   1.7 999.0 99.0 99.00
2003 05 27 12 228  5.0  5.6 99.00 99.00 99.00 999 1020.5   3.9   1.9 999.0 99.0 99.00
2003 05 27 13 224  5.1  5.6  0.20  2.56  2.72 999 1021.0   4.1   2.0 999.0 99.0 99.00
2003 05 27 14 234  5.1  5.7  0.29  2.70  2.88 999 1020.5   4.3   2.0 999.0 99.0 99.00
2003 05 27 15 238  3.4  3.9  0.37  3.33  3.03 999 1020.3   4.6   2.0 999.0 99.0 99.00
2003 05 27 16 232  3.2  3.6  0.36  3.45  3.15 999 1019.7   4.7   2.0 999.0 99.0 99.00
2003 05 27 17 218  3.1  3.6  0.37  3.57  3.27 999 1019.4   4.7   2.0 999.0 99.0 99.00
2003 05 27 18 219  3.7  4.1  0.33  3.45  3.23 999 1018.7   4.7   2.1 999.0 99.0 99.00
2003 05 27 19 222  4.1  5.2  0.33  3.45  3.31 999 1018.1   4.7   2.1 999.0 99.0 99.00
2003 05 27 20 229  4.3  4.8  0.34  3.57  3.30 999 1017.2   5.3   2.1 999.0 99.0 99.00
2003 05 27 21 224  5.2  5.9  0.35  3.45  3.20 999 1016.4   5.2   2.3 999.0 99.0 99.00
2003 05 27 22 227  5.3  6.0  0.44  3.45  3.30 999 1015.6   5.4   2.1 999.0 99.0 99.00
2003 05 27 23 224  5.2  5.8  0.44  3.57  3.29 999 1014.9   5.6   2.1 999.0 99.0 99.00
2003 05 28 00 234  5.3  5.8  0.45  3.85  3.38 999 1014.1   5.6   2.0 999.0 99.0 99.00
2003 05 28 01 226  4.6  5.0  0.44  3.57  3.38 999 1013.8   5.4   2.0 999.0 99.0 99.00
2003 05 28 02 211  4.6  5.7  0.39  3.45  3.29 999 1013.3   4.8   2.0 999.0 99.0 99.00
2003 05 28 03 180  4.0  4.9  0.31  3.33  3.19 999 1013.0   4.7   2.0 999.0 99.0 99.00
2003 05 28 04 180  4.2  4.7  0.27  3.23  3.13 999 1012.2   6.2   2.0 999.0 99.0 99.00
2003 05 28 05 178  3.9  4.3  0.21  2.94  3.07 999 1011.2   6.2   2.0 999.0 99.0 99.00
2003 05 28 06 182  4.2  4.9  0.20  2.78  2.98 999 1010.7   6.3   2.0 999.0 99.0 99.00
2003 05 28 07 244  2.5  2.9  0.17  3.03  2.94 999 1009.9   5.4   2.0 999.0 99.0 99.00
2003 05 28 08 211  2.1  2.4  0.16  2.70  2.85 999 1009.2   7.0   2.0 999.0 99.0 99.00
2003 05 28 09 178  2.8  3.5  0.00  0.00  0.00 999 1008.8   7.0   2.0 999.0 99.0 99.00
2003 05 28 10 343  1.2  1.5  0.00  0.00  0.00 999 1008.2   5.4   2.0 999.0 99.0 99.00
2003 05 28 11 261  1.1  1.5  0.00  0.00  0.00 999 1008.4   6.2   2.0 999.0 99.0 99.00
2003 05 28 12 259  1.7  2.8  0.00  0.00  0.00 999 1008.2   6.8   2.0 999.0 99.0 99.00
