#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 12 08 50 357  3.6  4.1  0.28  4.00  3.40  69 1014.0   2.4   2.0 999.0 99.0 99.00
2008 05 12 09 50   5  4.1  4.8  0.27  3.45  3.25  60 1014.2   2.3   2.0 999.0 99.0 99.00
2008 05 12 10 50   4  3.8  4.3  0.26  3.33  3.24  53 1015.1   2.4   1.9 999.0 99.0 99.00
2008 05 12 11 50  10  3.8  4.7  0.27  3.23  3.12  50 1015.8   2.4   1.9 999.0 99.0 99.00
2008 05 12 12 50  23  3.9  5.0  0.28  3.23  3.10  51 1015.8   2.4   2.0 999.0 99.0 99.00
2008 05 12 13 50  27  3.3  4.3  0.28  3.13  3.09  54 1017.0   2.4   2.0 999.0 99.0 99.00
2008 05 12 14 50  25  3.3  4.0  0.32  3.45  3.10  62 1017.3   2.4   2.0 999.0 99.0 99.00
2008 05 12 15 50  41  1.9  2.4  0.34  3.33  3.26  58 1017.4   2.3   2.0 999.0 99.0 99.00
2008 05 12 16 50   2  0.9  1.1  0.33  3.57  3.34  64 1017.6   2.3   2.0 999.0 99.0 99.00
2008 05 12 17 50 357  2.3  2.9  0.35  3.70  3.36  62 1017.3   2.3   2.1 999.0 99.0 99.00
2008 05 12 18 50 356  1.6  2.0  0.32  3.70  3.39  66 1016.6   2.3   2.0 999.0 99.0 99.00
2008 05 12 19 50 355  1.2  1.6  0.32  3.70  3.34  72 1016.9   2.4   2.1 999.0 99.0 99.00
2008 05 12 20 50 337  1.9  2.2  0.27  3.70  3.33  67 1017.2   2.5   2.1 999.0 99.0 99.00
2008 05 12 21 50 270  1.9  2.3  0.25  3.45  3.29  62 1017.4   2.4   2.1 999.0 99.0 99.00
2008 05 12 22 50 245  1.6  1.8  0.19  3.23  3.23  62 1018.0   2.4   2.0 999.0 99.0 99.00
2008 05 12 23 50 235  0.5  0.7  0.16  3.33  3.21  66 1017.4   2.4   2.0 999.0 99.0 99.00
2008 05 13 00 50 180  0.0  0.0  0.13 99.00  3.22 999 1017.2   2.1   2.0 999.0 99.0 99.00
2008 05 13 01 50 282  0.2  0.4  0.12 99.00  3.18 999 1017.3   2.1   2.0 999.0 99.0 99.00
2008 05 13 02 50  45  2.3  2.6  0.09 99.00  3.29 999 1017.4   2.1   2.0 999.0 99.0 99.00
2008 05 13 03 50  48  2.5  3.1  0.09 99.00  3.32 999 1017.4   2.4   2.0 999.0 99.0 99.00
2008 05 13 04 50  50  3.6  4.2  0.08 99.00  3.33 999 1017.4   2.3   2.0 999.0 99.0 99.00
2008 05 13 05 50  57  2.3  2.7  0.09 99.00  3.35 999 1018.0   2.4   2.0 999.0 99.0 99.00
2008 05 13 06 50  46  2.8  3.3  0.08 99.00  3.45 999 1017.4   2.5   2.0 999.0 99.0 99.00
2008 05 13 07 50  74  3.0  3.5  0.07 99.00  3.49 999 1017.3   2.8   2.0 999.0 99.0 99.00
2008 05 13 08 50  78  4.1  4.8  0.06 99.00  3.61 999 1016.6   2.8   2.0 999.0 99.0 99.00
2008 05 13 09 50 103  4.4  5.1  0.06 99.00  3.64 999 1016.5   2.7   2.0 999.0 99.0 99.00
2008 05 13 10 50 103  4.7  5.6  0.07 99.00  3.36 999 1016.3   2.7   2.0 999.0 99.0 99.00
2008 05 13 11 50 101  6.3  7.1  0.14 99.00  2.80 999 1015.8   2.9   2.0 999.0 99.0 99.00
2008 05 13 12 50 106  6.9  8.1  0.31  2.63  2.75 108 1014.8   3.2   2.0 999.0 99.0 99.00
2008 05 13 13 50 113  8.7 10.2  0.55  2.94  3.02 130 1013.3   3.8   2.0 999.0 99.0 99.00
2008 05 13 14 50 107  8.9 10.6  0.87  3.85  3.50 133 1012.2   3.2   2.0 999.0 99.0 99.00
2008 05 13 15 50 111  7.4  8.8  0.94  4.17  3.79 135 1011.5   3.5   2.0 999.0 99.0 99.00
2008 05 13 16 50 111  7.9  9.3  0.92  4.17  3.72 128 1010.6   3.9   2.0 999.0 99.0 99.00
2008 05 13 17 50 109  7.1  8.2  1.23  5.00  4.27 152 1009.2   4.2   2.0 999.0 99.0 99.00
2008 05 13 18 50 116  7.2  8.2  1.14  5.00  4.28 149 1007.8   5.0   2.0 999.0 99.0 99.00
2008 05 13 19 50 122  7.1  8.4  1.61  5.56  4.71 145 1006.9   4.8   2.0 999.0 99.0 99.00
2008 05 13 20 50 135  7.4  9.0  1.52  5.88  4.70 126 1005.3   6.3   2.0 999.0 99.0 99.00
2008 05 13 21 50 135 10.6 12.5  1.56  5.56  4.61 124 1004.6   7.1   2.0 999.0 99.0 99.00
2008 05 13 22 50 142 10.3 12.5  1.93  5.56  4.75 138 1005.1   6.3   2.0 999.0 99.0 99.00
2008 05 13 23 50 138  3.4  4.8  2.01  6.25  5.17 147 1006.1   4.2   2.0 999.0 99.0 99.00
2008 05 14 00 50 164  1.7  2.1  1.64  6.25  5.13 144 1006.4   4.3   2.0 999.0 99.0 99.00
2008 05 14 01 50 145  2.2  2.5  1.42  6.25  5.06 146 1006.1   4.5   2.0 999.0 99.0 99.00
2008 05 14 02 50 140  2.7  3.2  1.23  6.25  4.94 143 1005.9   4.6   2.0 999.0 99.0 99.00
2008 05 14 03 50 148  3.7  4.7  1.19  5.88  4.83 146 1005.4   4.4   2.0 999.0 99.0 99.00
2008 05 14 04 50 217  4.1  4.9  1.05  5.56  4.67 135 1005.3   3.3   2.0 999.0 99.0 99.00
2008 05 14 05 50 240  4.1  4.9  0.98  5.56  4.69 138 1005.2   3.1   2.0 999.0 99.0 99.00
