#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 12 21 50  96  7.4  8.3  0.55  3.23  3.22 131 1014.9   4.0   2.0 999.0 99.0 99.00
2009 05 12 22 50 102  7.8  9.0  0.70  3.57  3.31 112 1014.0   4.3   2.0 999.0 99.0 99.00
2009 05 12 23 50 108  9.2 11.3  0.79  4.00  3.60 113 1012.6   5.1   2.0 999.0 99.0 99.00
2009 05 13 00 50 113  9.1 10.6  1.00  4.55  3.81 113 1011.7   5.3   2.0 999.0 99.0 99.00
2009 05 13 01 50 125  9.5 11.1  1.06  4.76  3.96 133 1011.5   5.6   2.0 999.0 99.0 99.00
2009 05 13 02 50 140 10.7 12.4  1.25  5.00  4.17 126 1011.7   6.3   2.0 999.0 99.0 99.00
2009 05 13 03 50 149  7.7  8.7  1.19  4.76  4.11 138 1012.2   5.6   2.0 999.0 99.0 99.00
2009 05 13 04 50 134  9.1 11.6  1.64  5.26  4.58 148 1011.4   6.2   2.0 999.0 99.0 99.00
2009 05 13 05 50 145  7.9  9.7  1.67  5.88  4.82 163 1011.7   5.6   2.0 999.0 99.0 99.00
2009 05 13 06 50 115  6.4  7.2  1.31  5.56  4.52 158 1010.9   5.1   2.0 999.0 99.0 99.00
2009 05 13 07 50 124  9.9 11.8  1.27  5.56  4.37 163 1009.7   5.2   2.0 999.0 99.0 99.00
2009 05 13 08 50 131 10.6 12.4  1.37  5.26  4.31 152 1008.6   5.5   2.0 999.0 99.0 99.00
2009 05 13 09 50 135 10.5 12.6  1.78  5.88  4.73 153 1008.1   5.5   2.0 999.0 99.0 99.00
2009 05 13 10 50 134 10.8 12.3  1.85  5.88  4.97 160 1006.7   5.1   2.0 999.0 99.0 99.00
2009 05 13 11 50 132 12.2 14.7  2.29  6.67  5.22 158 1005.3   5.8   2.0 999.0 99.0 99.00
2009 05 13 12 50 136 13.6 16.0  2.22  6.67  5.12 162 1004.5   5.9   2.0 999.0 99.0 99.00
2009 05 13 13 50 135 13.2 16.4  2.62  6.67  5.41 163 1003.3   5.5   2.0 999.0 99.0 99.00
2009 05 13 14 50 133 12.8 16.4  2.66  6.67  5.48 159 1002.3   5.6   2.0 999.0 99.0 99.00
2009 05 13 15 50 137 11.8 13.9  2.52  6.67  5.40 156 1001.9   6.0   2.0 999.0 99.0 99.00
2009 05 13 16 50 142 11.6 14.0  2.71  7.14  5.53 153 1001.3   5.6   2.0 999.0 99.0 99.00
2009 05 13 17 50 143 10.9 13.0  2.59  6.67  5.47 152 1001.2   5.1   2.0 999.0 99.0 99.00
2009 05 13 18 50 143 10.9 12.6  2.19  6.25  5.33 157 1000.5   4.8   2.0 999.0 99.0 99.00
2009 05 13 19 50 143 10.1 11.8  2.05  6.67  5.28 147 1000.2   4.7   2.0 999.0 99.0 99.00
2009 05 13 20 50 142 10.7 12.5  1.93  6.67  5.07 151  999.5   5.2   2.0 999.0 99.0 99.00
2009 05 13 21 50 144 10.4 12.1  1.87  6.25  4.92 159  999.0   5.2   2.0 999.0 99.0 99.00
2009 05 13 22 50 143  9.6 11.3  2.10  6.67  5.25 154  999.0   5.1   2.0 999.0 99.0 99.00
2009 05 13 23 50 142  7.9  9.3  1.84  6.67  5.01 157  998.7   4.4   2.0 999.0 99.0 99.00
2009 05 14 00 50 132  7.1  8.6  1.70  6.67  5.12 150  997.6   4.8   2.0 999.0 99.0 99.00
2009 05 14 01 50 141 10.4 12.3  1.66  6.67  4.88 152  996.4   5.5   2.0 999.0 99.0 99.00
2009 05 14 02 50 146  9.3 10.7  1.57  5.88  4.71 161  996.6   5.4   2.0 999.0 99.0 99.00
2009 05 14 03 50 144  8.3  9.4  1.42  5.88  4.58 151  995.5   4.8   2.0 999.0 99.0 99.00
2009 05 14 04 50 157  6.9  8.4  1.48  5.56  4.74 152  994.7   4.8   2.0 999.0 99.0 99.00
