YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
88 04 03 03 125 05.6 08.4 00.30 04.20 04.20 999 1012.4  04.8 999.0 999.0 99.0
88 04 03 04 123 07.5 08.6 00.80 04.20 03.60 999 1012.1  04.0  01.2 999.0 99.0
88 04 03 05 113 07.1 08.3 00.70 04.20 03.60 999 1010.6  03.3  00.9 999.0 99.0
88 04 03 06 111 07.0 08.1 00.70 03.80 03.50 999 1009.4  03.2  00.9 999.0 99.0
88 04 03 07 095 05.9 07.1 00.60 04.00 03.50 999 1008.5  02.5  00.9 999.0 99.0
88 04 03 08 098 05.7 06.7 00.50 04.00 03.50 999 1007.4  02.1  00.9 999.0 99.0
88 04 03 09 106 07.4 08.4 00.70 04.30 03.70 999 1006.7  02.8  00.9 999.0 99.0
88 04 03 10 102 07.7 09.1 00.70 04.30 03.60 999 1005.3  02.9  00.9 999.0 99.0
88 04 03 11 107 08.0 09.3 00.70 03.80 03.60 999 1005.0  02.8  00.9 999.0 99.0
88 04 03 12 108 05.5 06.7 00.70 03.70 03.50 999 1004.5  02.4  00.9 999.0 99.0
88 04 03 13 118 04.5 05.2 00.60 03.70 03.60 999 1004.4  02.1  00.9 999.0 99.0
88 04 03 14 123 04.0 05.2 00.60 03.70 03.60 999 1003.7  02.0  00.9 999.0 99.0
88 04 03 15 114 03.6 04.2 00.50 04.50 03.60 999 1003.5  01.7  00.9 999.0 99.0
88 04 03 16 145 03.2 03.7 00.40 04.50 03.60 999 1003.7  02.0  01.0 999.0 99.0
88 04 03 17 146 03.0 03.4 00.50 04.50 03.80 999 1003.5  02.3  01.2 999.0 99.0
88 04 03 18 136 02.3 02.8 00.50 05.00 03.90 999 1003.5  02.3  01.2 999.0 99.0
88 04 03 19 091 02.9 03.4 00.40 05.00 03.80 999 1002.9  02.4  01.2 999.0 99.0
88 04 03 20 113 02.7 03.0 00.40 04.80 03.70 999 1003.0  02.0  01.2 999.0 99.0
88 04 03 21 084 03.9 04.4 00.30 04.30 03.60 999 1002.2  02.0  01.2 999.0 99.0
88 04 03 22 106 02.2 02.5 00.30 04.30 03.60 999 1002.6  02.0  01.2 999.0 99.0
88 04 03 23 141 02.1 02.8 00.30 04.00 03.50 999 1002.7  02.3  01.2 999.0 99.0
88 04 04 00 002 00.7 01.2 00.20 04.00 03.40 999 1002.7  02.1  01.2 999.0 99.0
88 04 04 01 338 01.6 01.8 00.20 03.70 03.30 999 1002.7  01.7  01.2 999.0 99.0
