YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 04 01 00  46  2.5  2.9   .50  4.17  3.77 999 1005.4   3.7   2.2 999.0 99.0
1999 04 01 01  15  4.8  5.4   .43  4.17  3.76 999 1005.6   3.9   2.2 999.0 99.0
1999 04 01 02 353  4.6  6.4   .41  4.17  3.74 999 1006.6   3.5   2.1 999.0 99.0
1999 04 01 03  10  4.9  5.7   .38  4.00  3.63 999 1007.0   3.3   2.1 999.0 99.0
1999 04 01 04  41  4.2  5.0   .42  3.70  3.42 999 1007.1   3.4   2.1 999.0 99.0
1999 04 01 05 338  2.8  3.4   .43  3.70  3.52 999 1007.3   3.2   2.1 999.0 99.0
1999 04 01 06 353  3.5  4.0   .47  4.00  3.59 999 1007.8   2.7   2.1 999.0 99.0
1999 04 01 07   7  3.6  4.1   .56  4.55  3.89 999 1009.0   2.8   2.1 999.0 99.0
1999 04 01 08 351  4.5  5.4   .62  4.76  4.10 999 1009.3   2.5   2.1 999.0 99.0
1999 04 01 09 351  4.6  5.2   .76  4.76  4.25 999 1010.1   2.3   2.1 999.0 99.0
1999 04 01 10   9  4.6  5.4   .87  5.26  4.53 999 1010.4   2.4   2.1 999.0 99.0
1999 04 01 11   9  5.5  6.5   .96  5.88  4.38 999 1011.3   2.3   2.1 999.0 99.0
1999 04 01 12  12  5.2  6.3   .98  5.00  4.34 999 1012.4   2.3   2.1 999.0 99.0
1999 04 01 13   3  4.5  5.3  1.04  5.56  4.37 999 1013.2   2.2   2.1 999.0 99.0
1999 04 01 14  19  5.7  7.1  1.11  5.56  4.53 999 1013.9   2.3   2.1 999.0 99.0
1999 04 01 15  22  5.5  6.5  1.09  5.56  4.47 999 1013.8   2.2   2.1 999.0 99.0
1999 04 01 16  24  6.3  7.6  1.05  5.88  4.45 999 1013.8   2.1   2.1 999.0 99.0
1999 04 01 17  26  5.3  6.6  1.02  5.88  4.44 999 1014.7   2.2   2.1 999.0 99.0
1999 04 01 18  36  4.5  5.1  1.00  5.88  4.38 999 1015.0   2.3   2.1 999.0 99.0
1999 04 01 19  37  4.6  5.2   .96  5.26  4.33 999 1014.9   2.3   2.2 999.0 99.0
1999 04 01 20 352  3.1  3.6  1.01  5.26  4.35 999 1015.5   2.0   2.1 999.0 99.0
1999 04 01 21 352  5.0  6.0   .97  5.26  4.30 999 1015.3   2.1   2.1 999.0 99.0
1999 04 01 22   9  5.6  6.6   .96  5.26  4.32 999 1015.6   2.3   2.1 999.0 99.0
1999 04 01 23  17  4.6  5.2   .98  5.56  4.39 999 1016.1   2.5   2.1 999.0 99.0
1999 04 02 00  42  7.9  9.1   .97  5.26  4.39 999 1015.9   2.5   2.1 999.0 99.0
1999 04 02 01  43  8.4 10.0  1.20  5.56  4.44 999 1016.1   2.0   2.1 999.0 99.0
1999 04 02 02  57  9.3 11.0  1.30  5.56  4.32 999 1016.0   1.9   2.1 999.0 99.0
1999 04 02 03  65 12.6 15.1  2.10  5.88  5.01 999 1015.3   1.5   2.1 999.0 99.0
1999 04 02 04  63 12.6 15.2  2.35  6.67  5.36 999 1015.4   1.7   2.1 999.0 99.0
1999 04 02 05  65 10.8 12.3  2.20  6.67  5.30 999 1016.2   1.9   2.1 999.0 99.0
1999 04 02 06  68 10.5 12.6  2.18  6.67  5.19 999 1016.6   2.1   2.1 999.0 99.0
1999 04 02 07  77 12.5 15.2  1.93  6.67  5.00 999 1015.4   2.2   2.1 999.0 99.0
1999 04 02 08  82 12.6 14.9  1.81  6.25  4.87 999 1014.9   2.2   2.1 999.0 99.0
1999 04 02 09  92 12.8 15.7  1.81  5.88  4.88 999 1014.3   2.1   2.1 999.0 99.0
1999 04 02 10 103 12.3 14.8  1.75  5.56  4.74 999 1013.9   2.0   2.1 999.0 99.0
1999 04 02 11 101 12.0 14.3  1.64  5.56  4.70 999 1013.4   2.2   2.1 999.0 99.0
1999 04 02 12 100 10.4 12.4  1.41  5.88  4.58 999 1014.0   2.4   2.1 999.0 99.0
1999 04 02 13  92 10.2 12.1  1.35  5.56  4.43 999 1013.5   2.4   2.1 999.0 99.0
