YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 26 20 272  4.5  4.9 99.00 99.00 99.00 999 1021.1   4.3   2.0 999.0 99.0 99.00
2003 05 26 21 285  5.6  6.0 99.00 99.00 99.00 999 1020.6   5.1   2.0 999.0 99.0 99.00
2003 05 26 22 285  5.1  5.6 99.00 99.00 99.00 999 1020.3   5.3   2.0 999.0 99.0 99.00
2003 05 26 23 289  5.4  6.0 99.00 99.00 99.00 999 1020.1   5.5   1.9 999.0 99.0 99.00
2003 05 27 00 296  5.4  6.2 99.00 99.00 99.00 999 1020.1   5.4   1.9 999.0 99.0 99.00
2003 05 27 01 287  3.5  3.9 99.00 99.00 99.00 999 1020.2   4.5   1.9 999.0 99.0 99.00
2003 05 27 02 301  4.7  5.3 99.00 99.00 99.00 999 1020.3   5.5   1.9 999.0 99.0 99.00
2003 05 27 03 352  3.8  4.3 99.00 99.00 99.00 999 1021.0   4.7   1.9 999.0 99.0 99.00
2003 05 27 04  12  2.6  3.0 99.00 99.00 99.00 999 1021.3   4.9   1.9 999.0 99.0 99.00
2003 05 27 05 354  2.9  3.0 99.00 99.00 99.00 999 1021.2   6.2   1.9 999.0 99.0 99.00
2003 05 27 06 180  0.0  0.0 99.00 99.00 99.00 999 1021.3   4.8   1.9 999.0 99.0 99.00
2003 05 27 07 344  0.3  0.5 99.00 99.00 99.00 999 1021.4   4.5   1.8 999.0 99.0 99.00
2003 05 27 08 243  2.5  2.8 99.00 99.00 99.00 999 1021.1   3.6   1.8 999.0 99.0 99.00
2003 05 27 09 252  3.1  3.5 99.00 99.00 99.00 999 1021.1   4.2   1.8 999.0 99.0 99.00
2003 05 27 10 261  1.9  2.0 99.00 99.00 99.00 999 1021.1   4.2   1.8 999.0 99.0 99.00
2003 05 27 11 253  1.9  2.1 99.00 99.00 99.00 999 1021.6   4.9   1.8 999.0 99.0 99.00
2003 05 27 12 277  1.7  2.0 99.00 99.00 99.00 999 1021.8   4.8   1.8 999.0 99.0 99.00
2003 05 27 13 212  2.4  2.5 99.00 99.00 99.00 999 1021.9   3.9   1.9 999.0 99.0 99.00
2003 05 27 14 214  3.1  3.6  0.00  0.00  0.00 999 1021.7   4.3   2.0 999.0 99.0 99.00
2003 05 27 15 202  3.0  3.5  0.00  0.00  0.00 999 1021.3   3.9   2.0 999.0 99.0 99.00
2003 05 27 16 222  2.9  3.1  0.00  0.00  0.00 999 1020.8   4.1   2.0 999.0 99.0 99.00
2003 05 27 17 219  3.4  3.7  0.00  0.00  0.00 999 1020.3   4.1   2.0 999.0 99.0 99.00
2003 05 27 18 232  2.7  2.8  0.00  0.00  0.00 999 1019.8   4.3   2.1 999.0 99.0 99.00
2003 05 27 19 228  2.2  2.8  0.00  0.00  0.00 999 1019.4   4.7   2.1 999.0 99.0 99.00
2003 05 27 20 210  2.6  2.8  0.00  0.00  0.00 999 1018.5   5.6   2.1 999.0 99.0 99.00
2003 05 27 21 209  2.3  2.6  0.00  0.00  0.00 999 1017.8   5.3   2.1 999.0 99.0 99.00
2003 05 27 22 187  2.8  3.0  0.00  0.00  0.00 999 1017.1   6.3   2.2 999.0 99.0 99.00
