YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 26 09 00 251 12.0 14.6 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2006 04 26 10 00 251 10.5 12.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2006 04 26 11 00 259  9.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2006 04 26 14 00 335  5.7  6.8  1.96  7.14  5.33 999 1009.9   3.9   2.5 999.0 99.0 99.00
2006 04 26 15 00 343  7.6  9.2  1.59  5.88  5.09 999 1010.4   3.5   2.5 999.0 99.0 99.00
2006 04 26 16 00 344  6.0  6.7 99.00 99.00 99.00 999 1011.2   3.3   2.5 999.0 99.0 99.00
2006 04 26 17 00 314  5.0 99.0 99.00 99.00 99.00 999 9999.0   3.3 999.0 999.0 99.0 99.00
2006 04 26 18 00 296  3.7  4.3 99.00 99.00 99.00 999 1012.3   3.3   2.6 999.0 99.0 99.00
2006 04 26 19 00 288  4.4  4.9  1.06  6.67  4.64 999 1012.4   3.2   2.6 999.0 99.0 99.00
2006 04 26 20 00 289  4.3  4.9 99.00 99.00 99.00 999 1012.5   3.3   2.5 999.0 99.0 99.00
2006 04 26 21 00 304  3.7  4.2  0.90  6.67  4.46 999 1012.3   3.3   2.5 999.0 99.0 99.00
2006 04 26 22 00 357  2.3  2.6  0.82  6.25  4.54 999 1011.8   3.6   2.6 999.0 99.0 99.00
2006 04 26 23 00 330  1.9  2.2  0.63  5.56  4.24 999 1011.7   3.9   2.6 999.0 99.0 99.00
2006 04 27 00 00 247  3.1  3.6  0.62  6.25  4.19 999 1011.7   3.3   2.5 999.0 99.0 99.00
2006 04 27 01 00 258  3.9  4.6  0.55  5.88  4.16 999 1012.0   3.0   2.5 999.0 99.0 99.00
2006 04 27 02 00 266  3.7  4.3  0.48  5.56  4.08 999 1012.4   3.0   2.5 999.0 99.0 99.00
2006 04 27 03 00 272  4.3  5.0 99.00 99.00 99.00 999 1012.7   3.2   2.5 999.0 99.0 99.00
2006 04 27 04 00 301  4.1  4.7  0.40  5.56  3.98 999 1013.2   3.6   2.5 999.0 99.0 99.00
2006 04 27 05 00  30  4.7  6.1  0.39  5.56  4.19 999 1013.8   3.7   2.5 999.0 99.0 99.00
2006 04 27 06 00  56  3.1  3.5  0.34  5.56  4.00 999 1014.8   2.9   2.5 999.0 99.0 99.00
2006 04 27 07 00  38  3.2  3.6  0.31  5.26  3.88 999 1015.3   3.1   2.5 999.0 99.0 99.00
2006 04 27 08 00  29  3.5  3.9  0.33  5.26  3.69 999 1016.0   3.0   2.5 999.0 99.0 99.00
2006 04 27 09 00   8  5.6  6.5  0.33  3.85  3.64 999 1016.5   2.6   2.5 999.0 99.0 99.00
2006 04 27 10 00  19  5.0  5.8  0.37  3.33  3.38 999 1017.0   2.4   2.5 999.0 99.0 99.00
2006 04 27 11 00  23  5.9  6.6  0.42  3.33  3.31 999 1017.6   2.0   2.4 999.0 99.0 99.00
2006 04 27 12 00  32  5.4  6.2  0.43  3.23  3.21 999 1018.8   1.9   2.5 999.0 99.0 99.00
2006 04 27 13 00  26  5.9  6.6  0.48  3.70  3.41 999 1019.6   1.7   2.5 999.0 99.0 99.00
2006 04 27 14 00  35  5.5  6.6  0.50  4.00  3.41 999 1020.3   0.9   2.6 999.0 99.0 99.00
2006 04 27 15 00  50  4.3  5.1  0.47  4.00  3.39 999 1020.9   0.6   2.6 999.0 99.0 99.00
2006 04 27 16 00  51  3.4  4.3  0.41  3.45  3.40 999 1021.6   0.8   2.6 999.0 99.0 99.00
2006 04 27 17 00  19  2.6  3.3  0.41  4.00  3.45 999 1022.0   0.9   2.7 999.0 99.0 99.00
2006 04 27 18 00 358  2.9  3.6  0.42  4.00  3.41 999 1022.2   1.0   2.6 999.0 99.0 99.00
2006 04 27 19 00 339  3.2  4.0  0.51  4.00  3.52 999 1022.5   1.2   2.7 999.0 99.0 99.00
2006 04 27 20 00 334  3.5  4.4  0.41  3.70  3.46 999 1022.5   1.3   2.7 999.0 99.0 99.00
2006 04 27 21 00 310  2.5  3.3  0.38  4.17  3.40 999 1022.3   1.5   2.7 999.0 99.0 99.00
2006 04 27 22 00 300  3.0  3.5  0.29  3.45  3.27 999 1022.2   1.8   2.7 999.0 99.0 99.00
2006 04 27 23 00 304  2.5  2.9  0.23  2.94  3.08 999 1022.5   2.0   2.7 999.0 99.0 99.00
