#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 180  0.0  0.0 99.00 99.00 99.00 999 9999.0 -11.0 999.0 999.0 99.0 99.00
2010 01 01 00 50 180  0.0  0.0 99.00 99.00 99.00 999 9999.0 -11.3 999.0 999.0 99.0 99.00
2010 01 01 01 50 180  0.0  0.0 99.00 99.00 99.00 999 9999.0 -11.8 999.0 999.0 99.0 99.00
2010 01 01 02 50 180  0.0  0.0 99.00 99.00 99.00 999 9999.0 -12.5 999.0 999.0 99.0 99.00
2010 01 01 03 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -12.6 999.0 999.0 99.0 99.00
2010 01 01 04 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.0 999.0 999.0 99.0 99.00
2010 01 01 05 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.0 999.0 999.0 99.0 99.00
2010 01 01 06 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.1 999.0 999.0 99.0 99.00
2010 01 01 07 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -12.9 999.0 999.0 99.0 99.00
2010 01 01 08 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.1 999.0 999.0 99.0 99.00
2010 01 01 09 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.3 999.0 999.0 99.0 99.00
2010 01 01 10 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.6 999.0 999.0 99.0 99.00
2010 01 01 11 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -13.9 999.0 999.0 99.0 99.00
2010 01 01 12 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -14.4 999.0 999.0 99.0 99.00
2010 01 01 13 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -15.4 999.0 999.0 99.0 99.00
2010 01 01 14 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -16.0 999.0 999.0 99.0 99.00
2010 01 01 15 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -16.3 999.0 999.0 99.0 99.00
2010 01 01 16 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 -15.8 999.0 999.0 99.0 99.00
2010 01 01 17 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 01 18 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 01 19 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 01 20 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 01 21 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 01 22 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 06 05 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 06 06 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 06 07 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 06 08 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 06 23 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 00 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 01 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 02 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 03 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 04 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 05 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 06 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 07 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2010 01 07 08 50 180  0.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
