#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 15 17 50 169  0.4  1.6 99.00 99.00 99.00 999 1018.3  -3.3   2.6 999.0 99.0 99.00
2013 03 15 18 50 188  0.4  1.3 99.00 99.00 99.00 999 1017.3  -2.5   2.5 999.0 99.0 99.00
2013 03 15 20 50 330  1.4  3.6  0.03 99.00  7.59 999 1016.4  -3.8   1.7 999.0 99.0 99.00
2013 03 15 22 50 328  1.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 03 15 23 50 329  2.5  4.8  0.03 99.00  7.22 999 1016.5  -4.4   0.2 999.0 99.0 99.00
2013 03 16 00 50 342  0.2  1.5 99.00 99.00 99.00 999 1016.6 999.0 999.0 999.0 99.0 99.00
2013 03 16 01 50 108  0.1  0.7 99.00 99.00 99.00 999 1016.8  -6.2 999.0 999.0 99.0 99.00
2013 03 16 02 50  74  0.1  1.1  0.03 99.00  7.58 999 1017.0  -6.1 999.0 999.0 99.0 99.00
2013 03 16 03 50 174  0.1  0.7  0.03 99.00  7.44 999 1017.0  -6.6 999.0 999.0 99.0 99.00
2013 03 16 04 50 174  0.1  0.9  0.03 99.00  7.22 999 1017.0  -6.8 999.0 999.0 99.0 99.00
2013 03 16 05 50 174  0.1  0.6 99.00 99.00 99.00 999 1017.0  -6.8 999.0 999.0 99.0 99.00
2013 03 16 06 50   7  0.2  1.1  0.04 99.00  7.75 999 1017.3  -6.8 999.0 999.0 99.0 99.00
2013 03 16 07 50 174  0.0  0.2  0.03 99.00  7.35 999 1017.6  -7.4 999.0 999.0 99.0 99.00
2013 03 16 08 50 311  1.5  3.8  0.02 99.00  6.19 999 1018.1  -9.0 999.0 999.0 99.0 99.00
2013 03 16 10 50 292  0.9  2.4  0.05 99.00  8.37 999 1019.1 -10.0 999.0 999.0 99.0 99.00
2013 03 16 11 50 265  0.8  2.1  0.04 99.00  8.58 999 1019.8 -10.5 999.0 999.0 99.0 99.00
2013 03 16 13 50 245  1.8  2.7  0.04 99.00  8.18 999 1020.6 -10.8 999.0 999.0 99.0 99.00
2013 03 16 14 50 221  1.0  1.8  0.04 99.00  8.00 999 1020.7 -10.1 999.0 999.0 99.0 99.00
2013 03 16 15 50 238  1.7  3.1  0.03 99.00  7.15 999 1020.7  -9.2 999.0 999.0 99.0 99.00
2013 03 16 16 50 203  2.1  3.8  0.04 99.00  8.09 999 1020.5  -8.4 999.0 999.0 99.0 99.00
2013 03 16 17 50 200  1.6  3.1  0.03 99.00  7.36 999 1020.2  -7.6   0.7 999.0 99.0 99.00
2013 03 16 18 50 204  3.2  5.1 99.00 99.00 99.00 999 1020.0  -6.9   0.6 999.0 99.0 99.00
2013 03 16 19 50 191  2.6  6.0  0.02 99.00  6.98 999 1019.6  -6.0   0.1 999.0 99.0 99.00
2013 03 16 20 50 195  3.6  5.6  0.02 99.00  6.67 999 1019.3  -6.2 999.0 999.0 99.0 99.00
2013 03 16 21 50 157  1.2  4.1  0.02 99.00  7.33 999 1019.3  -5.5 999.0 999.0 99.0 99.00
2013 03 16 22 50 243  3.1  4.6  0.02 99.00  7.13 999 1019.4  -6.2 999.0 999.0 99.0 99.00
2013 03 16 23 50 207  2.3  4.9  0.03 99.00  7.00 999 1020.1  -7.1 999.0 999.0 99.0 99.00
2013 03 17 01 50 256  1.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 03 17 02 50 270  1.6  3.5  0.03 99.00  7.18 999 1024.9 -10.6 999.0 999.0 99.0 99.00
2013 03 17 03 50 299  1.2  2.5  0.04 99.00  7.93 999 1025.7 -11.7 999.0 999.0 99.0 99.00
2013 03 17 04 50 301  1.6  3.3  0.03 99.00  7.51 999 1026.2 -12.7 999.0 999.0 99.0 99.00
2013 03 17 05 50 280  1.5  2.7  0.04 99.00  7.98 999 1027.0 -13.4 999.0 999.0 99.0 99.00
2013 03 17 06 50 302  1.0 99.0  0.05 99.00  9.11 999 1027.3 -14.0 999.0 999.0 99.0 99.00
2013 03 17 07 50 336  1.1  2.8 99.00 99.00 99.00 999 1027.7 -14.1 999.0 999.0 99.0 99.00
2013 03 17 08 50 310  1.4  3.3  0.06 99.00  9.02 999 1027.7 -14.8 999.0 999.0 99.0 99.00
2013 03 17 09 50 305  2.1  3.3  0.06 99.00  9.14 999 1027.3 -15.4 999.0 999.0 99.0 99.00
2013 03 17 10 50 305  1.8  2.8  0.06 99.00  9.22 999 1027.4 -15.5 999.0 999.0 99.0 99.00
2013 03 17 11 50 305  1.2  1.9  0.07 99.00  9.99 999 1027.2 -15.4 999.0 999.0 99.0 99.00
2013 03 17 12 50 174  0.0  1.4  0.04 99.00  7.94 999 1027.4 -16.5 999.0 999.0 99.0 99.00
2013 03 17 13 50 174  0.0  0.1 99.00 99.00 99.00 999 1027.2 -18.5 999.0 999.0 99.0 99.00
2013 03 17 14 50 140  0.1  1.3  0.13 99.00 12.37 999 1026.8 -12.8 999.0 999.0 99.0 99.00
2013 03 17 15 50 174  0.0  0.2  0.07 99.00 10.00 999 1026.4 -12.3 999.0 999.0 99.0 99.00
2013 03 17 16 50 312  1.4  2.3  0.04 99.00  7.94 999 1025.9 -10.9 999.0 999.0 99.0 99.00
2013 03 17 17 50 321  0.7  2.4  0.05 99.00  8.86 999 1024.5  -7.5 999.0 999.0 99.0 99.00
2013 03 17 18 50 327  0.9  2.1  0.06 99.00  8.97 999 1023.6  -6.1 999.0 999.0 99.0 99.00
2013 03 17 19 50 322  0.8  2.9  0.04 99.00  7.79 999 1021.7  -4.6 999.0 999.0 99.0 99.00
2013 03 17 20 50 323  1.3  3.2  0.03 99.00  6.95 999 1020.7  -5.2 999.0 999.0 99.0 99.00
2013 03 17 21 50 327  1.5  3.2  0.06 99.00  9.11 999 1019.5  -5.6 999.0 999.0 99.0 99.00
2013 03 17 22 50 328  1.8  3.8  0.05 99.00  8.98 999 1018.8  -5.6 999.0 999.0 99.0 99.00
2013 03 17 23 50 324  2.2  4.6  0.03 99.00  7.44 999 1018.3  -5.6 999.0 999.0 99.0 99.00
2013 03 18 00 50 323  3.2  4.9  0.04 99.00  7.71 999 1017.8  -5.3 999.0 999.0 99.0 99.00
2013 03 18 01 50  48  0.7  1.8  0.04 99.00  8.12 999 1017.1  -3.9 999.0 999.0 99.0 99.00
2013 03 18 02 50 259  0.1  1.1  0.03 99.00  7.24 999 1016.2  -4.9 999.0 999.0 99.0 99.00
2013 03 18 03 50 174  0.0  0.1  0.03 99.00  7.41 999 1015.8  -5.8 999.0 999.0 99.0 99.00
2013 03 18 04 50 174  0.1  0.6  0.06 99.00  8.67 999 1015.1  -5.5 999.0 999.0 99.0 99.00
2013 03 18 05 50 174  0.1  0.5  0.04 99.00  7.63 999 1014.6  -5.3 999.0 999.0 99.0 99.00
2013 03 18 06 50  52  0.7  1.6  0.03 99.00  7.20 999 1013.5  -4.6 999.0 999.0 99.0 99.00
2013 03 18 07 50  53  0.4  1.3  0.08 99.00 10.71 999 1012.1  -5.0 999.0 999.0 99.0 99.00
2013 03 18 09 50 174  0.0  0.1  0.03 99.00  7.33 999 1009.7  -4.7 999.0 999.0 99.0 99.00
2013 03 18 11 50 174  0.1  0.5  0.05 99.00  8.79 999 1007.5  -5.1 999.0 999.0 99.0 99.00
2013 03 18 13 50  16  0.3  2.1  0.03 99.00  7.33 999 1005.3  -4.4 999.0 999.0 99.0 99.00
2013 03 18 14 50  11  0.3  1.3  0.03 99.00  7.31 999 1004.2  -3.7 999.0 999.0 99.0 99.00
2013 03 18 15 50  18  0.2  1.2  0.03 99.00  7.30 999 1003.4  -2.8 999.0 999.0 99.0 99.00
2013 03 18 16 50 174  0.0  0.3 99.00 99.00 99.00 999 1002.4  -1.6 999.0 999.0 99.0 99.00
2013 03 18 17 50 174  0.1  0.6 99.00 99.00 99.00 999 1001.4  -1.3 999.0 999.0 99.0 99.00
2013 03 18 18 50 314  0.5  1.9  0.01 99.00  7.12 999 1000.8  -1.9 999.0 999.0 99.0 99.00
2013 03 18 19 50  68  3.7  4.6  0.05 99.00  5.41 999 1000.0  -1.2 999.0 999.0 99.0 99.00
2013 03 18 20 50  22  0.6  2.1  0.06 99.00  4.71 999  999.9  -1.3 999.0 999.0 99.0 99.00
2013 03 18 21 50  59  2.0  4.4  0.09 99.00  4.55 999  999.6  -1.1 999.0 999.0 99.0 99.00
2013 03 18 22 50  70  5.1  6.7  0.15 99.00  4.52 999  999.6  -1.2 999.0 999.0 99.0 99.00
2013 03 18 23 50  79  3.2  5.6  0.27  4.55  5.01 103  999.6  -1.2 999.0 999.0 99.0 99.00
2013 03 19 00 50  88  4.9  5.8  0.66  5.26  5.25  99  999.4  -1.1 999.0 999.0 99.0 99.00
2013 03 19 01 50  88  4.8  5.4  0.58  4.76  4.90 103  999.0  -1.1 999.0 999.0 99.0 99.00
2013 03 19 02 50  96  3.5  4.2  0.72  4.76  4.88  97  998.6  -1.0 999.0 999.0 99.0 99.00
2013 03 19 03 50  35  0.9  3.2  1.36  5.00  4.99 102  998.2  -1.4 999.0 999.0 99.0 99.00
2013 03 19 04 50  68  1.6  4.0  1.43  5.00  4.89 101  997.4  -1.7 999.0 999.0 99.0 99.00
2013 03 19 05 50  40  3.4  4.6  1.08  4.76  4.73  98  996.6  -1.9 999.0 999.0 99.0 99.00
2013 03 19 06 50 360  0.1  0.6  1.49  4.55  4.55 107  995.8  -1.3 999.0 999.0 99.0 99.00
