YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 03 29 00 103   .5  3.6   .00   .00   .00 999 1009.8   5.1   5.1 999.0 99.0
1999 03 29 01   0   .0   .1   .00   .00   .00 999 1010.8   4.7   4.7 999.0 99.0
1999 03 29 02   0   .0   .0   .00   .00   .00 999 1012.2   4.2   4.3 999.0 99.0
1999 03 29 03   0   .0   .1   .00   .00   .00 999 1012.5   4.8   4.4 999.0 99.0
1999 03 29 04  89   .1  2.0   .00   .00   .00 999 1013.2   5.4   4.7 999.0 99.0
1999 03 29 05   0   .0  1.8   .00   .00   .00 999 1013.8   4.7   4.7 999.0 99.0
1999 03 29 06 101   .4  2.6   .00   .00   .00 999 1014.1   4.3   4.4 999.0 99.0
1999 03 29 07   0   .0   .9   .00   .00   .00 999 1014.8   4.0   4.1 999.0 99.0
1999 03 29 08   0   .0   .3   .00   .00   .00 999 1015.3   3.6   3.9 999.0 99.0
1999 03 29 09 138  1.0  2.7   .00   .00   .00 999 1015.4   3.9   3.6 999.0 99.0
1999 03 29 10 140  1.2  2.9   .00   .00   .00 999 1016.3   3.6   3.5 999.0 99.0
1999 03 29 11 143  1.3  3.4   .00   .00   .00 999 1016.4   3.2   3.2 999.0 99.0
1999 03 29 12 145  1.2  2.6   .00   .00   .00 999 1017.0   3.1   2.9 999.0 99.0
1999 03 29 13 138  1.1  2.3   .00   .00   .00 999 1017.8   3.9   3.1 999.0 99.0
1999 03 29 14 156  1.8  4.0   .00   .00   .00 999 1017.9   4.9   5.7 999.0 99.0
1999 03 29 15 134  1.0  3.4   .00   .00   .00 999 1018.6   6.6   8.4 999.0 99.0
1999 03 29 16 106   .5  2.8   .00   .00   .00 999 1019.1   8.6   9.7 999.0 99.0
1999 03 29 17 153  2.2  4.7   .00   .00   .00 999 1019.4   9.4  11.0 999.0 99.0
1999 03 29 18 164  1.9  3.7   .00   .00   .00 999 1019.4  10.2  10.6 999.0 99.0
1999 03 29 19 164  2.4  4.3   .00   .00   .00 999 1019.2  10.8  10.9 999.0 99.0
1999 03 29 20 166  2.0  4.4   .00   .00   .00 999 1018.7  11.4  11.3 999.0 99.0
1999 03 29 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 29 22  93   .1  1.3 99.00 99.00 99.00 999 1018.4  11.3  11.7 999.0 99.0
1999 03 29 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 30 00   0   .0   .0   .00   .00   .00 999 1017.9  11.0  11.7 999.0 99.0
1999 03 30 01 138   .2  1.2   .00   .00   .00 999 1017.8   8.4  11.1 999.0 99.0
1999 03 30 02 100   .9  1.9   .00   .00   .00 999 1017.8   3.9   8.3 999.0 99.0
1999 03 30 03  77  1.5  2.0   .00   .00   .00 999 1018.7   3.5   6.6 999.0 99.0
1999 03 30 04 115   .3  1.3   .00   .00   .00 999 1018.7   4.2   5.9 999.0 99.0
1999 03 30 05 116   .6  3.3   .00   .00   .00 999 1018.5   3.9   5.4 999.0 99.0
1999 03 30 06 130   .4  1.7   .00   .00   .00 999 1017.9   4.5   5.2 999.0 99.0
1999 03 30 07  97  1.2  1.5   .00   .00   .00 999 1017.7   3.7   4.4 999.0 99.0
1999 03 30 08   0   .0   .3   .00   .00   .00 999 1017.9   3.2   4.3 999.0 99.0
1999 03 30 09 298   .4  4.1   .00   .00   .00 999 1017.9   3.5   3.9 999.0 99.0
1999 03 30 10 218  3.5  3.9   .23  3.57  3.20 999 1018.6   3.1   1.3 999.0 99.0
1999 03 30 11 250  2.0  2.6   .19  2.63  3.01 999 1018.7   3.1   1.2 999.0 99.0
1999 03 30 12 192  1.9  2.3   .20  2.56  2.98 999 1018.7   2.3   1.2 999.0 99.0
1999 03 30 13 211  2.1  2.3   .18  2.63  2.97 999 1019.5   2.3   1.2 999.0 99.0
1999 03 30 14 195  2.2  2.9   .16  2.56  3.20 999 1019.7   2.4   1.2 999.0 99.0
1999 03 30 15 196  2.3  2.9   .00   .00   .00 999 1019.7   2.8   1.3 999.0 99.0
1999 03 30 16 125  1.2  1.5   .00   .00   .00 999 1018.7   3.5   1.3 999.0 99.0
1999 03 30 17 132  2.1  2.3   .00   .00   .00 999 1018.2   2.4   1.3 999.0 99.0
1999 03 30 18 105  2.9  3.2   .00   .00   .00 999 1017.9   2.4   1.3 999.0 99.0
1999 03 30 19  90  3.8  4.9   .00   .00   .00 999 1016.9   4.0   1.3 999.0 99.0
1999 03 30 20  87  5.4  6.1   .00   .00   .00 999 1014.5   3.1   1.3 999.0 99.0
1999 03 30 21  94  6.7  7.7   .18  2.56  2.75 999 1012.9   3.8   1.3 999.0 99.0
1999 03 30 22  80  7.2  8.2   .42  2.78  2.82 999 1011.6   3.6   1.3 999.0 99.0
1999 03 30 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
