YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 04 09 20 167  3.5  4.0  0.42  4.55  3.78 999 1025.4   1.6   2.0 999.0 99.0 99.00
2002 04 09 21 162  4.9  5.7  0.39  5.00  3.90 999 1024.7   1.6   1.9 999.0 99.0 99.00
2002 04 09 22 162  5.3  5.9  0.39  5.26  4.24 999 1024.6   1.6   1.9 999.0 99.0 99.00
2002 04 09 23 157  4.2  4.7  0.37  5.26  4.14 999 1024.7   1.7   1.9 999.0 99.0 99.00
2002 04 10 00 144  4.1  4.6  0.34  5.26  4.12 999 1024.5   1.8   1.9 999.0 99.0 99.00
2002 04 10 01 144  4.5  5.1  0.28  4.76  4.15 999 1024.4   1.9   1.8 999.0 99.0 99.00
2002 04 10 02 156  4.8  5.4  0.30  5.00  4.01 999 1024.8   2.1   1.8 999.0 99.0 99.00
2002 04 10 03 178  3.3  4.2  0.27  5.00  3.70 999 1025.2   2.3   1.8 999.0 99.0 99.00
2002 04 10 04 180  3.8  4.9  0.27  4.76  3.41 999 1025.8   3.0   1.8 999.0 99.0 99.00
2002 04 10 05 190  3.8  4.7  0.26  4.55  3.30 999 1026.2   2.8   1.8 999.0 99.0 99.00
2002 04 10 06 268  1.0  1.3  0.21  4.55  3.62 999 1026.3   3.5   1.8 999.0 99.0 99.00
2002 04 10 07 193  2.1  2.3  0.17  4.76  3.77 999 1026.6   3.1   1.8 999.0 99.0 99.00
2002 04 10 08 182  3.0  3.6  0.16  4.55  3.81 999 1026.7   3.3   1.8 999.0 99.0 99.00
2002 04 10 09 172  2.6  2.9  0.17  4.55  3.83 999 1026.9   2.6   1.8 999.0 99.0 99.00
2002 04 10 10 186  3.3  4.1  0.00  0.00  0.00 999 1026.9   2.6   1.8 999.0 99.0 99.00
2002 04 10 11 162  3.6  4.0  0.00  0.00  0.00 999 1026.8   2.5   1.8 999.0 99.0 99.00
2002 04 10 12 151  3.8  4.3  0.00  0.00  0.00 999 1027.2   2.4   1.8 999.0 99.0 99.00
2002 04 10 13 148  3.3  3.7  0.00  0.00  0.00 999 1027.9   2.6   1.8 999.0 99.0 99.00
2002 04 10 14 131  3.4  3.9  0.00  0.00  0.00 999 1028.2   2.6   1.8 999.0 99.0 99.00
2002 04 10 15 113  3.0  3.4  0.00  0.00  0.00 999 1028.3   2.7   1.8 999.0 99.0 99.00
2002 04 10 16  59  3.9  5.0  0.00  0.00  0.00 999 1028.4   2.5   1.8 999.0 99.0 99.00
2002 04 10 17  65  4.7  5.2  0.00  0.00  0.00 999 1028.5   2.5   1.8 999.0 99.0 99.00
2002 04 10 18  59  6.2  7.3  0.00  0.00  0.00 999 1028.1   2.4   1.8 999.0 99.0 99.00
2002 04 10 19  67  7.1  9.0  0.33  2.63  2.77 999 1027.9   2.3   1.8 999.0 99.0 99.00
2002 04 10 20  66  8.5 10.0  0.62  3.13  3.15 999 1027.0   2.1   1.8 999.0 99.0 99.00
2002 04 10 21  73  8.9 10.8  0.84  4.00  3.53 999 1026.4   2.0   1.8 999.0 99.0 99.00
2002 04 10 22  74  7.9  8.9  0.93  4.35  3.75 999 1026.4   2.2   1.8 999.0 99.0 99.00
2002 04 10 23  68  8.7 10.0  0.88  4.17  3.84 999 1025.6   2.3   1.8 999.0 99.0 99.00
2002 04 11 00  74  8.5 10.4  0.96  4.35  3.77 999 1025.6   2.3   1.8 999.0 99.0 99.00
2002 04 11 01  76 10.2 11.8  0.96  4.00  3.78 999 1024.5   2.0   1.8 999.0 99.0 99.00
2002 04 11 02  80  9.9 11.8  1.12  4.35  4.00 999 1024.4   2.0   1.8 999.0 99.0 99.00
2002 04 11 03  75 10.0 11.4  1.16  4.55  4.00 999 1024.0   2.2   1.7 999.0 99.0 99.00
2002 04 11 04  78 10.2 12.2  1.33  4.55  4.21 999 1022.8   2.2   1.7 999.0 99.0 99.00
2002 04 11 05  69 10.5 12.4  1.29  4.76  4.24 999 1021.2   2.4   1.8 999.0 99.0 99.00
2002 04 11 06  83 11.2 13.7  1.40  5.00  4.16 999 1020.0   2.7   1.8 999.0 99.0 99.00
2002 04 11 07  91  9.9 11.3  1.43  5.26  4.36 999 1018.9   3.8   1.8 999.0 99.0 99.00
2002 04 11 08  73 10.2 12.0  1.53  5.00  4.37 999 1017.9   3.0   1.8 999.0 99.0 99.00
2002 04 11 09  74  9.2 11.0  1.31  5.00  4.31 999 1016.8   2.6   1.7 999.0 99.0 99.00
2002 04 11 10  93  9.1 10.4  1.20  5.00  4.25 999 1015.4   2.6   1.7 999.0 99.0 99.00
2002 04 11 11 106  8.3 10.1  1.09  5.00  4.11 999 1014.8   2.9   1.7 999.0 99.0 99.00
2002 04 11 12 108  5.1  6.4  1.02  5.56  4.29 999 1015.0   3.0   1.7 999.0 99.0 99.00
2002 04 11 13 112  2.2  3.6  0.88  5.26  4.28 999 1015.3   3.2   1.7 999.0 99.0 99.00
2002 04 11 14 328  1.3  2.1  0.92  5.26  4.61 999 1015.5   3.0   1.7 999.0 99.0 99.00
2002 04 11 15   4  4.0  4.4  0.89  5.56  4.52 999 1015.4   2.3   1.7 999.0 99.0 99.00
2002 04 11 16  26  4.1  4.7  0.81  5.56  4.42 999 1014.8   2.2   1.7 999.0 99.0 99.00
2002 04 11 17  30  5.4  6.2  0.82  5.56  4.47 999 1014.3   2.2   1.7 999.0 99.0 99.00
