YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 04 20 14 127  7.1  8.1  0.64  3.45  3.35 999 1017.6   2.1   1.8 999.0 99.0 99.00
2004 04 20 15 127  5.0  5.7  0.59  3.57  3.37 999 1017.1   2.3   1.8 999.0 99.0 99.00
2004 04 20 16 130  6.1  7.0  0.53  3.57  3.29 999 1016.3   2.6   1.8 999.0 99.0 99.00
2004 04 20 17 123  5.8  6.6  0.53  3.33  3.29 999 1015.5   2.5   1.8 999.0 99.0 99.00
2004 04 20 18 120  4.5  5.0  0.48  3.70  3.33 999 1015.0   2.9   2.2 999.0 99.0 99.00
2004 04 20 19 108  4.5  5.0  0.43  3.57  3.31 999 1014.1   2.6   1.8 999.0 99.0 99.00
2004 04 20 20  78  4.4  5.1  0.41  3.70  3.32 999 1012.4   2.5   1.8 999.0 99.0 99.00
2004 04 20 21  69  5.6  6.3  0.40  3.57  3.25 999 1010.9   2.2   1.8 999.0 99.0 99.00
2004 04 20 22  58  5.9  6.7  0.37  3.33  3.07 999 1009.8   2.3   1.8 999.0 99.0 99.00
2004 04 20 23  59  4.9  5.5  0.32  3.03  2.96 999 1009.3   2.3   1.8 999.0 99.0 99.00
2004 04 21 00  55  5.4  6.2  0.32  2.94  2.85 999 1007.9   2.3   1.7 999.0 99.0 99.00
2004 04 21 01  70  6.2  7.3  0.37  2.94  2.92 999 1007.2   2.5   1.7 999.0 99.0 99.00
2004 04 21 02  68  7.1  8.3  0.46  3.23  3.07 999 1005.9   2.4   1.7 999.0 99.0 99.00
2004 04 21 03  75  5.8  6.8  0.60  3.57  3.33 999 1005.3   2.3   1.7 999.0 99.0 99.00
2004 04 21 04  61  4.1  4.8  0.65  4.17  3.60 999 1004.0   2.3   1.6 999.0 99.0 99.00
2004 04 21 05  71  4.7  5.3  0.65  4.17  3.68 999 1002.7   2.2   1.6 999.0 99.0 99.00
2004 04 21 06  72  5.1  5.9  0.68  4.35  3.86 999 1001.8   2.2   1.6 999.0 99.0 99.00
2004 04 21 07  48  3.8  4.3  0.56  4.17  3.75 999 1001.5   2.1   1.6 999.0 99.0 99.00
2004 04 21 08  36  7.9  9.1  0.63  4.17  3.78 999  999.6   1.7   1.6 999.0 99.0 99.00
2004 04 21 09  32  7.4  8.4  0.69  3.85  3.51 999  999.4   1.6   1.6 999.0 99.0 99.00
2004 04 21 10  31  8.2  9.6  0.80  3.85  3.55 999  999.1   1.6   1.6 999.0 99.0 99.00
2004 04 21 11  38  6.6  8.2  0.85  3.85  3.66 999  998.6   1.7   1.6 999.0 99.0 99.00
2004 04 21 12  26  8.3  9.6  0.85  4.17  3.67 999  998.7   1.6   1.6 999.0 99.0 99.00
2004 04 21 13  26  7.1  8.4  0.78  4.00  3.64 999  999.1   1.8   1.5 999.0 99.0 99.00
