YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 14 06 00  41  3.6  4.2 99.00 99.00 99.00 999 1028.8 999.0 999.0 999.0 99.0 99.00
2005 04 14 07 00  49  2.9  3.2 99.00 99.00 99.00 999 1028.8 999.0 999.0 999.0 99.0 99.00
2005 04 14 08 00  57  1.4  1.5 99.00 99.00 99.00 999 1029.0 999.0 999.0 999.0 99.0 99.00
2005 04 14 09 00  38  1.9  2.3 99.00 99.00 99.00 999 1029.4 999.0 999.0 999.0 99.0 99.00
2005 04 14 10 00  22  2.9  3.4 99.00 99.00 99.00 999 1029.8 999.0 999.0 999.0 99.0 99.00
2005 04 14 11 00  52  5.5  6.1 99.00 99.00 99.00 999 1030.0 999.0 999.0 999.0 99.0 99.00
2005 04 14 12 00  69  5.2  6.1 99.00 99.00 99.00 999 1030.6 999.0 999.0 999.0 99.0 99.00
2005 04 14 13 00  69  6.1  6.8 99.00 99.00 99.00 999 1030.8 999.0 999.0 999.0 99.0 99.00
2005 04 14 14 00  64  7.0  8.0  0.57  3.45  3.22 999 1031.2   2.3   1.6 999.0 99.0 99.00
2005 04 14 15 00  63  7.2  8.8  0.61  3.45  3.31 999 1031.6   2.1   1.6 999.0 99.0 99.00
2005 04 14 16 00  70  7.9  9.1  0.70  3.85  3.44 999 1031.3   2.2   1.8 999.0 99.0 99.00
2005 04 14 17 00  71  8.0  9.2  0.81  4.00  3.64 999 1031.1   2.0   1.7 999.0 99.0 99.00
2005 04 14 18 00  74  7.9  9.3  0.95  4.35  3.75 999 1030.5   1.9   1.6 999.0 99.0 99.00
2005 04 14 19 00  74  7.7  9.0  0.92  4.35  3.77 999 1030.1   1.9   1.6 999.0 99.0 99.00
2005 04 14 20 00  72  8.1  9.8  0.92  4.35  3.76 999 1029.8   1.8   1.7 999.0 99.0 99.00
2005 04 14 21 00  69  7.4  8.3  0.84  4.55  3.76 999 1029.4   2.6   2.3 999.0 99.0 99.00
2005 04 14 22 00  63  6.9  7.8  0.93  4.55  3.91 999 1029.0   2.1   1.9 999.0 99.0 99.00
2005 04 14 23 00  63  7.3  8.9  0.88  4.76  3.82 999 1028.7   1.9   1.7 999.0 99.0 99.00
2005 04 15 00 00  63  7.9  9.1  0.90  4.76  3.81 999 1028.1   2.0   1.6 999.0 99.0 99.00
2005 04 15 01 00  65  8.2  9.3  0.84  4.55  3.80 999 1027.5   2.1   1.6 999.0 99.0 99.00
2005 04 15 02 00  70  8.5  9.9  0.87  4.35  3.83 999 1026.9   2.0   1.6 999.0 99.0 99.00
2005 04 15 03 00  73  6.6  7.4  0.82  4.35  3.80 999 1026.9   2.2   1.6 999.0 99.0 99.00
2005 04 15 04 00  88  6.8  7.6  0.75  4.35  3.69 999 1026.6   2.6   1.6 999.0 99.0 99.00
2005 04 15 05 00  80  6.6  7.4  0.77  4.17  3.69 999 1026.6   2.3   1.6 999.0 99.0 99.00
2005 04 15 06 00  75  5.7  6.4  0.63  3.45  3.62 999 1027.1   2.3   1.6 999.0 99.0 99.00
2005 04 15 07 00  93  5.3  6.3  0.65  4.00  3.66 999 1027.2   3.2   1.5 999.0 99.0 99.00
2005 04 15 08 00 122  3.8  4.1  0.52  4.00  3.51 999 1027.5   3.4   1.5 999.0 99.0 99.00
2005 04 15 09 00 104  2.8  3.0  0.50  4.55  3.62 999 1027.7   3.0   1.5 999.0 99.0 99.00
2005 04 15 10 00 105  3.5  3.7  0.47  3.85  3.63 999 1027.7   2.7   1.5 999.0 99.0 99.00
2005 04 15 11 00 104  2.9  3.3  0.45  4.00  3.58 999 1027.9   2.8   1.5 999.0 99.0 99.00
2005 04 15 12 00 103  2.6  2.8  0.41  4.00  3.42 999 1028.6   3.0   1.4 999.0 99.0 99.00
2005 04 15 13 00 117  3.0  3.2  0.37  3.45  3.35 999 1028.8   4.0   1.5 999.0 99.0 99.00
2005 04 15 14 00 117  3.3  3.7  0.33  3.45  3.32 999 1028.5   3.6   1.5 999.0 99.0 99.00
2005 04 15 15 00 130  2.8  3.0  0.35  3.23  3.35 999 1028.5   3.7   1.6 999.0 99.0 99.00
2005 04 15 16 00 117  2.7  2.9  0.28  3.13  3.32 999 1028.2   3.4   1.6 999.0 99.0 99.00
2005 04 15 17 00 117  4.1  4.4  0.30  3.70  3.34 999 1027.3   3.4   1.6 999.0 99.0 99.00
2005 04 15 18 00  54  1.5  2.0  0.28  3.70  3.29 999 1027.0   3.9   1.7 999.0 99.0 99.00
2005 04 15 19 00  59  3.0  3.4  0.25  3.33  3.28 999 1026.2   4.0   1.7 999.0 99.0 99.00
2005 04 15 20 00  77  3.3  4.2  0.22  3.23  3.18 999 1025.4   3.8   1.7 999.0 99.0 99.00
2005 04 15 21 00  71  4.6  4.9  0.19  3.13  3.18 999 1024.4   3.6   1.7 999.0 99.0 99.00
2005 04 15 22 00  76  3.5  3.9  0.16  3.45  3.23 999 1023.8   3.4   1.8 999.0 99.0 99.00
2005 04 15 23 00  97  4.1  4.6  0.00  0.00  0.00 999 1023.3   4.1   1.7 999.0 99.0 99.00
2005 04 16 00 00   8  2.9  4.8  0.00  0.00  0.00 999 1022.9   4.6   1.7 999.0 99.0 99.00
2005 04 16 01 00  23  3.1  3.5  0.00  0.00  0.00 999 1022.7   3.3   1.6 999.0 99.0 99.00
