#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 09 22 50 296  4.7  7.1 99.00 99.00 99.00 999 1012.8 999.0 999.0 999.0 99.0 99.00
2008 05 09 23 50 248  2.6  4.0  0.00 99.00  5.18 999 1013.0 999.0 999.0 999.0 99.0 99.00
2008 05 10 00 50 233  1.8  3.5  0.00 99.00  5.43 999 1013.2 999.0 999.0 999.0 99.0 99.00
2008 05 10 01 50 233  2.4  4.5 99.00 99.00 99.00 999 1013.7 999.0 999.0 999.0 99.0 99.00
2008 05 10 02 50 240  1.8  3.1 99.00 99.00 99.00 999 1014.2 999.0 999.0 999.0 99.0 99.00
2008 05 10 03 50 238  1.7  3.3 99.00 99.00 99.00 999 1014.3 999.0 999.0 999.0 99.0 99.00
2008 05 10 04 50 258  3.4  5.5 99.00 99.00 99.00 999 1014.7 999.0 999.0 999.0 99.0 99.00
2008 05 10 05 50 253  2.9  4.8 99.00 99.00 99.00 999 1014.9 999.0 999.0 999.0 99.0 99.00
2008 05 10 06 50 252  3.2  5.4 99.00 99.00 99.00 999 1014.6 999.0 999.0 999.0 99.0 99.00
2008 05 10 07 50 248  2.3  3.6 99.00 99.00 99.00 999 1014.5 999.0 999.0 999.0 99.0 99.00
2008 05 10 08 50 234  1.5  2.8 99.00 99.00 99.00 999 1014.5 999.0 999.0 999.0 99.0 99.00
2008 05 10 09 50 234  0.2  0.6  0.00 99.00  5.54 999 1014.9 999.0 999.0 999.0 99.0 99.00
2008 05 10 10 50 303  1.3  1.9  0.00 99.00  5.52 999 1015.4 999.0 999.0 999.0 99.0 99.00
2008 05 10 11 50 258  1.1  1.8  0.00 99.00  6.10 999 1015.7 999.0 999.0 999.0 99.0 99.00
2008 05 10 12 50 218  0.6  1.8  0.00 99.00  5.75 999 1016.0 999.0 999.0 999.0 99.0 99.00
2008 05 10 13 50 252  1.2  2.7  0.01 99.00  5.89 999 1016.1 999.0 999.0 999.0 99.0 99.00
2008 05 10 14 50 255  1.3  2.7  0.00 99.00  5.48 999 1015.8 999.0 999.0 999.0 99.0 99.00
2008 05 10 15 50 240  2.3  3.6 99.00 99.00 99.00 999 1015.8 999.0 999.0 999.0 99.0 99.00
2008 05 10 16 50 231  2.3  5.7 99.00 99.00 99.00 999 1015.4 999.0 999.0 999.0 99.0 99.00
2008 05 10 17 50 290  4.6  6.2  0.00 99.00  5.28 999 1014.7 999.0 999.0 999.0 99.0 99.00
2008 05 10 18 50 279  4.5  8.2 99.00 99.00 99.00 999 1014.4 999.0 999.0 999.0 99.0 99.00
2008 05 10 19 50 252  3.5  6.2 99.00 99.00 99.00 999 1014.4 999.0 999.0 999.0 99.0 99.00
2008 05 10 20 50 254  3.2  5.2  0.00 99.00  5.34 999 1014.1 999.0 999.0 999.0 99.0 99.00
2008 05 10 21 50 273  3.1  5.1  0.00 99.00  5.52 999 1013.5 999.0 999.0 999.0 99.0 99.00
2008 05 10 22 50 256  2.3  3.8  0.00 99.00  5.13 999 1013.3 999.0 999.0 999.0 99.0 99.00
2008 05 10 23 50 248  2.0  3.1  0.00 99.00  5.34 999 1013.3 999.0 999.0 999.0 99.0 99.00
2008 05 11 00 50 320  1.0  2.7 99.00 99.00 99.00 999 1013.0 999.0 999.0 999.0 99.0 99.00
2008 05 11 01 50   2  1.1  2.4  0.00 99.00  5.27 999 1012.3 999.0 999.0 999.0 99.0 99.00
2008 05 11 02 50 180  0.0  0.0 99.00 99.00 99.00 999 1012.6 999.0 999.0 999.0 99.0 99.00
2008 05 11 03 50 180  0.0  0.0 99.00 99.00 99.00 999 1012.5 999.0 999.0 999.0 99.0 99.00
2008 05 11 04 50 180  0.0  0.0 99.00 99.00 99.00 999 1011.8 999.0 999.0 999.0 99.0 99.00
2008 05 11 05 50 180  0.0  0.0 99.00 99.00 99.00 999 1010.9 999.0 999.0 999.0 99.0 99.00
2008 05 11 06 50 180  0.0  0.0 99.00 99.00 99.00 999 1009.6 999.0 999.0 999.0 99.0 99.00
2008 05 11 07 50 180  0.0  0.0 99.00 99.00 99.00 999 1008.8 999.0 999.0 999.0 99.0 99.00
2008 05 11 08 50 180  0.0  0.3 99.00 99.00 99.00 999 1008.2 999.0 999.0 999.0 99.0 99.00
2008 05 11 09 50 180  0.1  0.4 99.00 99.00 99.00 999 1007.9 999.0 999.0 999.0 99.0 99.00
2008 05 11 10 50 180  0.0  0.0 99.00 99.00 99.00 999 1007.8 999.0 999.0 999.0 99.0 99.00
2008 05 11 11 50 180  0.1  1.0 99.00 99.00 99.00 999 1007.5 999.0 999.0 999.0 99.0 99.00
2008 05 11 12 50 180  0.1  0.7 99.00 99.00 99.00 999 1007.2 999.0 999.0 999.0 99.0 99.00
2008 05 11 13 50 203  0.1  0.9 99.00 99.00 99.00 999 1006.4 999.0 999.0 999.0 99.0 99.00
2008 05 11 14 50 180  0.0  0.0 99.00 99.00 99.00 999 1004.9 999.0 999.0 999.0 99.0 99.00
2008 05 11 16 50 305  2.4  5.1 99.00 99.00 99.00 999 1004.7 999.0 999.0 999.0 99.0 99.00
2008 05 12 07 50 338  0.9  1.4 99.00 99.00 99.00 999 1014.4   2.6 999.0 999.0 99.0 99.00
2008 05 12 08 50 293  3.2  3.6 99.00 99.00 99.00 999 1014.5   2.5 999.0 999.0 99.0 99.00
2008 05 12 09 50 295  2.7  3.0 99.00 99.00 99.00 999 1015.2   2.4 999.0 999.0 99.0 99.00
2008 05 12 10 50 291  2.6  2.9 99.00 99.00 99.00 999 1016.3   2.5 999.0 999.0 99.0 99.00
2008 05 12 11 50 180  0.1  0.6 99.00 99.00 99.00 999 1016.5   2.6 999.0 999.0 99.0 99.00
2008 05 12 12 50 280  0.4  1.4 99.00 99.00 99.00 999 1017.4   2.7 999.0 999.0 99.0 99.00
2008 05 12 13 50 278  0.2  1.4 99.00 99.00 99.00 999 1017.9   3.1 999.0 999.0 99.0 99.00
2008 05 12 14 50 180  0.1  0.9 99.00 99.00 99.00 999 1018.2   3.1 999.0 999.0 99.0 99.00
2008 05 12 15 50  88  2.9  3.2  0.22  4.76  4.12 999 1018.1   2.8 999.0 999.0 99.0 99.00
2008 05 12 16 50  82  4.2  4.7  0.19  4.35  4.08 999 1017.7   2.8 999.0 999.0 99.0 99.00
2008 05 12 17 50  62  3.8  4.4  0.17  4.35  3.88 999 1017.6   2.6   2.2 999.0 99.0 99.00
2008 05 12 18 50  42  3.4  4.0  0.15  4.17  3.81 999 1017.9   2.6   2.2 999.0 99.0 99.00
