#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 04 30 23 50  31  1.5  2.5 99.00 99.00 99.00 999  999.4   7.5   7.4 999.0 99.0 99.00
2011 05 01 00 50  35  1.7  2.9 99.00 99.00 99.00 999  999.2   5.6   7.1 999.0 99.0 99.00
2011 05 01 01 50  34  1.5  3.1 99.00 99.00 99.00 999  999.4   6.4   6.9 999.0 99.0 99.00
2011 05 01 02 50  52  1.1  1.6  0.01 99.00  6.72 999  999.8   5.8   6.7 999.0 99.0 99.00
2011 05 01 03 50 109  1.1  5.8 99.00 99.00 99.00 999  999.4   6.4   6.3 999.0 99.0 99.00
2011 05 01 04 50 199  4.2 12.8 99.00 99.00 99.00 999  998.7   9.4   7.7 999.0 99.0 99.00
2011 05 01 05 50 197  5.0 11.2  0.01 99.00  5.95 999  998.8   8.4   7.7 999.0 99.0 99.00
2011 05 01 06 50 222  6.0 12.1 99.00 99.00 99.00 999  998.9   7.1   7.3 999.0 99.0 99.00
2011 05 01 07 50 217  4.6 11.9  0.01 99.00  5.63 999  998.7   6.6   6.9 999.0 99.0 99.00
2011 05 01 08 50 223  7.7 13.8 99.00 99.00 99.00 999  999.1   5.7   6.4 999.0 99.0 99.00
2011 05 01 09 50 221  8.4 15.3 99.00 99.00 99.00 999  999.3   5.0   6.0 999.0 99.0 99.00
2011 05 01 10 50 226  8.4 12.5 99.00 99.00 99.00 999  999.7   4.0   5.4 999.0 99.0 99.00
2011 05 01 11 50 236  8.8 13.6  0.01 99.00  6.26 999 1000.7   3.2   4.8 999.0 99.0 99.00
2011 05 01 12 50 238  7.2 12.2 99.00 99.00 99.00 999 1001.7   2.5   4.1 999.0 99.0 99.00
2011 05 01 13 50 238  7.4 10.3 99.00 99.00 99.00 999 1002.7   2.0   3.8 999.0 99.0 99.00
2011 05 01 14 50 237  9.6 12.9 99.00 99.00 99.00 999 1003.9   1.8   3.5 999.0 99.0 99.00
2011 05 01 15 50 228  8.8 13.1  0.01 99.00  6.14 999 1005.2   1.7   3.4 999.0 99.0 99.00
2011 05 01 16 50 229  9.2 13.7 99.00 99.00 99.00 999 1006.3   2.0   3.4 999.0 99.0 99.00
2011 05 01 17 50 229  7.1  9.8  0.01 99.00  5.95 999 1006.9   2.1   3.5 999.0 99.0 99.00
2011 05 01 18 50 233  7.8 11.4 99.00 99.00 99.00 999 1008.0   2.0   3.5 999.0 99.0 99.00
2011 05 01 19 50 225  6.9 10.7  0.01 99.00  5.50 999 1008.8   2.6   3.8 999.0 99.0 99.00
2011 05 01 20 50 236  8.9 12.1  0.01 99.00  6.70 999 1009.9   2.7   3.9 999.0 99.0 99.00
2011 05 01 21 50 233  8.9 12.2  0.01 99.00  5.45 999 1010.9   2.8   4.0 999.0 99.0 99.00
2011 05 01 22 50 236  7.6 10.3  0.01 99.00  6.02 999 1012.0   2.9   4.0 999.0 99.0 99.00
2011 05 01 23 50 240  6.3  8.5  0.01 99.00  5.59 999 1012.8   2.9   3.9 999.0 99.0 99.00
2011 05 02 00 50 236  7.0 10.1  0.01 99.00  6.02 999 1013.9   2.6   3.8 999.0 99.0 99.00
2011 05 02 01 50 242  7.1  9.8  0.01 99.00  5.26 999 1014.7   2.4   3.6 999.0 99.0 99.00
2011 05 02 02 50 239  6.5  9.0 99.00 99.00 99.00 999 1015.0   1.7   3.3 999.0 99.0 99.00
2011 05 02 03 50 236  4.4  6.2 99.00 99.00 99.00 999 1015.0   1.4   3.0 999.0 99.0 99.00
2011 05 02 04 50 261  6.1  8.7 99.00 99.00 99.00 999 1015.4   1.5   2.8 999.0 99.0 99.00
2011 05 02 05 50 256  6.8  9.7  0.01 99.00  6.95 999 1016.0   1.1   2.5 999.0 99.0 99.00
